epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,6054.23,0.37817,0.28438,0.8493,0.82273,0.78727,0.80445,0.69208,0.58153,0.66289,1.01729,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,6124.46,0.37802,0.27479,0.84117,0.85742,0.77285,0.81126,0.69293,0.58854,0.65385,1.02306,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,6192.23,0.39984,0.28224,0.86454,0.86077,0.76657,0.81394,0.69326,0.58771,0.63239,1.02663,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,6260.75,0.39083,0.30951,0.86114,0.85449,0.76822,0.81709,0.69598,0.58956,0.62309,1.02636,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,6330.19,0.38526,0.27958,0.85111,0.85234,0.76706,0.81319,0.69753,0.59276,0.63257,1.02628,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,6399.85,0.37271,0.26826,0.84187,0.84714,0.79252,0.8172,0.70451,0.58673,0.63991,1.02923,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,6472.32,0.37385,0.27094,0.85002,0.84728,0.76258,0.81132,0.69757,0.58603,0.65111,1.03494,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,6560.73,0.3165,0.22532,0.78326,0.84436,0.77982,0.81049,0.69344,0.58404,0.66706,1.03054,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,6630.77,0.30183,0.21942,0.80102,0.85928,0.76611,0.80452,0.69244,0.58827,0.67257,1.02953,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,6703.49,0.30473,0.22061,0.79575,0.85522,0.76436,0.80401,0.69101,0.57866,0.67317,1.02809,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,6773.02,0.30298,0.21775,0.79672,0.88854,0.74528,0.79975,0.68575,0.57852,0.67618,1.02531,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,6843.76,0.29752,0.21922,0.79973,0.8734,0.74655,0.80145,0.6873,0.58579,0.67756,1.02937,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,6914.77,0.30517,0.21893,0.79982,0.8659,0.75379,0.79713,0.68537,0.58239,0.67463,1.02886,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,6985.07,0.29443,0.21616,0.78327,0.87563,0.7458,0.80211,0.68767,0.5796,0.67349,1.0242,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,7058.15,0.30527,0.21724,0.79656,0.8599,0.75577,0.7998,0.69151,0.58401,0.67632,1.02699,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,7129.37,0.28306,0.20896,0.79827,0.86432,0.75634,0.8039,0.69049,0.58163,0.68129,1.02965,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,7200.65,0.28864,0.21235,0.79552,0.86958,0.75556,0.79999,0.68724,0.58128,0.68617,1.03324,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
