
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
64	21084	0.6059	0.5238	0.9453	0.881	0.629	0.744	0.585	0.7736499905586243	0.7961500287055969	1.0716899633407593	0.0003763	0.0003763	0.0003763
65	21404	0.5867	0.4922	0.9352	0.862	0.623	0.736	0.579	0.7647299766540527	0.839709997	1.0730400085449219	0.0003664	0.0003664	0.0003664
66	21730	0.5757	0.4713	0.931	0.837	0.64	0.72	0.589	0.7345200181007385	0.868120015	1.040470004081726	0.0003565	0.0003565	0.0003565
67	22050	0.5688	0.4713	0.9149	0.792	0.634	0.698	0.562	0.726419985	0.9258800148963928	1.0347299575805664	0.0003466	0.0003466	0.0003466
68	22371	0.5616	0.4624	0.927	0.826	0.602	0.705	0.568	0.7486299872398376	0.9217399954795837	1.0412299633026123	0.0003367	0.0003367	0.0003367
69	22691	0.5878	0.4884	0.9351	0.902	0.605	0.747	0.597	0.7543799877166748	0.7937600016593933	1.0436700582504272	0.0003268	0.0003268	0.0003268
70	23011	0.5718	0.4547	0.9335	0.822	0.668	0.738	0.586	0.7659900188446045	0.8410099744796753	1.0479600429534912	0.0003169	0.0003169	0.0003169
71	23333	0.5656	0.4626	0.9298	0.799	0.639	0.724	0.58	0.7381899952888489	0.8930000066757202	1.0281800031661987	0.000307	0.000307	0.000307
72	23661	0.5462	0.4443	0.9176	0.872	0.62	0.724	0.583	0.7435299754142761	0.8630300164222717	1.034559965133667	0.0002971	0.0002971	0.0002971
73	23991	0.552	0.4499	0.9311	0.774	0.652	0.715	0.581	0.7560799717903137	0.8581900000572205	1.0409599542617798	0.0002872	0.0002872	0.0002872
74	24315	0.5389	0.4318	0.9133	0.773	0.65	0.724	0.585	0.7434300184249878	0.8798999786376953	1.0307300090789795	0.0002773	0.0002773	0.0002773
75	24638	0.5286	0.4228	0.9078	0.819	0.62	0.719	0.585	0.7210100293159485	0.8554499745368958	1.0321999788284302	0.0002674	0.0002674	0.0002674
76	24960	0.5685	0.4373	0.9391	0.863	0.593	0.707	0.576	0.7394999861717224	0.921720028	1.0314300060272217	0.0002575	0.0002575	0.0002575
