
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,21682.1,0.63377,0.50063,0.95496,0.81334,0.69654,0.75519,0.59032,0.7731,0.71962,1.06655,0.000610789,0.000610789,0.000610789
66,22004.7,0.62867,0.50341,0.94704,0.8087,0.66565,0.72095,0.56767,0.80374,0.74154,1.08537,0.000594286,0.000594286,0.000594286
67,22327.9,0.62945,0.48522,0.93862,0.8272,0.59906,0.7116,0.57128,0.75754,0.73434,1.05883,0.000577782,0.000577782,0.000577782
68,22651.2,0.6208,0.47909,0.95116,0.76948,0.66926,0.73949,0.57235,0.78041,0.73496,1.07872,0.000561279,0.000561279,0.000561279
69,22980.1,0.62772,0.50421,0.95105,0.82146,0.56913,0.70937,0.55936,0.77834,0.77933,1.07794,0.000544776,0.000544776,0.000544776
70,23304.7,0.6309,0.48234,0.94722,0.79143,0.66242,0.71537,0.56381,0.75062,0.73918,1.0648,0.000528272,0.000528272,0.000528272
71,23633.5,0.60985,0.47134,0.94083,0.80037,0.66255,0.69731,0.55101,0.741,0.7361,1.05743,0.000511769,0.000511769,0.000511769
72,23960.3,0.5949,0.45134,0.94091,0.87373,0.61543,0.72316,0.57832,0.74998,0.70925,1.05127,0.000495266,0.000495266,0.000495266
73,24284.8,0.59778,0.46619,0.95176,0.83316,0.66035,0.70876,0.57046,0.74572,0.70775,1.05433,0.000478762,0.000478762,0.000478762
74,24608.9,0.58483,0.45576,0.92848,0.73535,0.70632,0.72397,0.57408,0.7512,0.7181,1.04559,0.000462259,0.000462259,0.000462259
75,24938.3,0.58358,0.45281,0.93007,0.80547,0.66577,0.72742,0.57328,0.7396,0.71413,1.04541,0.000445756,0.000445756,0.000445756
76,25264.4,0.6179,0.45605,0.95559,0.82146,0.6357,0.70568,0.56204,0.73086,0.69353,1.04143,0.000429253,0.000429253,0.000429253
77,25590,0.57657,0.45304,0.91924,0.88818,0.6001,0.71021,0.55933,0.71424,0.68426,1.03097,0.000412749,0.000412749,0.000412749
78,25912.4,0.58553,0.44154,0.93689,0.84532,0.63792,0.71503,0.56658,0.74777,0.72445,1.03439,0.000396246,0.000396246,0.000396246
79,26239.5,0.5903,0.43132,0.94219,0.84645,0.62327,0.73553,0.58671,0.71473,0.68305,1.03348,0.000379743,0.000379743,0.000379743
80,26570.2,0.61945,0.45253,0.93944,0.78564,0.67174,0.7221,0.57532,0.72924,0.70619,1.02394,0.000363239,0.000363239,0.000363239
81,26899.2,0.58414,0.43775,0.92284,0.78908,0.64961,0.7099,0.56888,0.72893,0.72794,1.03339,0.000346736,0.000346736,0.000346736
82,27228.4,0.57434,0.41917,0.91195,0.83661,0.67584,0.74273,0.59442,0.74285,0.69098,1.04808,0.000330233,0.000330233,0.000330233
83,27553.7,0.57633,0.42908,0.9248,0.76168,0.70926,0.76624,0.61146,0.7417,0.68761,1.04667,0.000313729,0.000313729,0.000313729
84,27883.6,0.57457,0.42702,0.9367,0.80025,0.70913,0.76221,0.61725,0.7357,0.65083,1.03537,0.000297226,0.000297226,0.000297226
85,28224.2,0.54408,0.41816,0.91392,0.83253,0.69743,0.76302,0.60931,0.71232,0.66676,1.03213,0.000280723,0.000280723,0.000280723
86,28557.2,0.53823,0.39566,0.9303,0.81336,0.63584,0.74108,0.59154,0.71616,0.69376,1.03692,0.00026422,0.00026422,0.00026422
87,28891.9,0.55485,0.41443,0.91507,0.80129,0.64392,0.73526,0.59174,0.7133,0.70138,1.02941,0.000247716,0.000247716,0.000247716
88,29221.9,0.54515,0.41892,0.91472,0.76856,0.69475,0.74942,0.5942,0.69798,0.69901,1.021,0.000231213,0.000231213,0.000231213
89,29560.2,0.54076,0.40205,0.9043,0.7883,0.68782,0.75782,0.60876,0.68013,0.66567,1.01636,0.00021471,0.00021471,0.00021471
90,29889,0.54219,0.40064,0.91812,0.83916,0.69659,0.76123,0.61531,0.7143,0.66407,1.03406,0.000198206,0.000198206,0.000198206
91,30222.1,0.46657,0.35176,0.88121,0.81909,0.68557,0.76299,0.61583,0.73263,0.69088,1.02834,0.000181703,0.000181703,0.000181703
92,30545.4,0.48414,0.34966,0.88381,0.82702,0.69584,0.77065,0.61192,0.73552,0.67572,1.0316,0.0001652,0.0001652,0.0001652
93,30870.4,0.4663,0.33558,0.87286,0.80742,0.69584,0.76605,0.62251,0.71687,0.66205,1.03203,0.000148696,0.000148696,0.000148696
94,31201.8,0.48697,0.33764,0.87015,0.75483,0.7332,0.77953,0.62237,0.70821,0.64182,1.03972,0.000132193,0.000132193,0.000132193
95,31532.3,0.47853,0.3368,0.88493,0.75803,0.72255,0.77737,0.62654,0.70046,0.6306,1.03405,0.00011569,0.00011569,0.00011569
96,31864.3,0.45494,0.3208,0.88002,0.74844,0.72255,0.76377,0.61922,0.68633,0.63411,1.0201,9.91865e-05,9.91865e-05,9.91865e-05
97,32192.8,0.45573,0.31967,0.87238,0.78426,0.67216,0.76241,0.62351,0.6981,0.65279,1.02841,8.26832e-05,8.26832e-05,8.26832e-05
98,32518.6,0.45925,0.31703,0.86563,0.8095,0.65821,0.76706,0.6236,0.69903,0.65384,1.03534,6.61799e-05,6.61799e-05,6.61799e-05
99,32849.3,0.45071,0.32179,0.86717,0.81518,0.67584,0.76469,0.61847,0.70477,0.64616,1.04458,4.96766e-05,4.96766e-05,4.96766e-05
100,33184.5,0.4488,0.31197,0.87033,0.81937,0.67441,0.76964,0.62513,0.70423,0.6427,1.04189,3.31733e-05,3.31733e-05,3.31733e-05
