epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,25491.7,0.67347,1.012,0.91382,0.82907,0.56164,0.66728,0.53627,0.71441,1.28739,0.91344,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,25862.9,0.65968,0.97303,0.9038,0.81268,0.54343,0.65559,0.52642,0.71599,1.32225,0.91324,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,26245.9,0.6471,0.96143,0.89293,0.7811,0.55203,0.65396,0.52484,0.71123,1.30425,0.9146,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,26628.3,0.62554,0.96054,0.89448,0.8436,0.5219,0.66719,0.53811,0.71041,1.28345,0.91178,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,27000.5,0.64497,0.95653,0.89881,0.88346,0.51823,0.66656,0.53883,0.70634,1.28763,0.91081,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,27381.8,0.6572,0.96996,0.88926,0.84252,0.53761,0.6601,0.53717,0.70944,1.2871,0.90993,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,27751.8,0.67532,0.96171,0.9088,0.82142,0.53423,0.66465,0.5371,0.71339,1.28355,0.91452,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,28134.5,0.65967,0.94971,0.90101,0.85805,0.52974,0.66759,0.5374,0.70977,1.27229,0.91195,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,28516.8,0.64882,0.96574,0.89143,0.88084,0.53608,0.66628,0.53052,0.72225,1.27886,0.91846,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,28888.1,0.64919,0.94529,0.90266,0.88812,0.53346,0.66909,0.52784,0.72681,1.28059,0.9173,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,29273.9,0.62914,0.9408,0.88474,0.73085,0.59196,0.67089,0.52996,0.72958,1.2695,0.91924,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,29657.5,0.63989,0.95217,0.8984,0.8499,0.53221,0.66592,0.53055,0.72734,1.26867,0.91589,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,406.449,0.68009,0.96942,0.91066,0.87208,0.52369,0.66543,0.53243,0.72184,1.25493,0.91482,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,792.26,0.62684,0.94411,0.8908,0.80071,0.55678,0.66624,0.52866,0.727,1.26439,0.91665,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,1160.87,0.65914,0.96175,0.89806,0.81703,0.54679,0.66157,0.52828,0.71902,1.27599,0.91384,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,1539.83,0.56997,0.86994,0.87312,0.70016,0.62039,0.67005,0.53731,0.72317,1.26586,0.91752,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,1917.45,0.6414,0.92851,0.90496,0.83409,0.54136,0.66818,0.53776,0.7233,1.26419,0.9178,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,2282.18,0.63342,0.91784,0.90436,0.84501,0.5391,0.66816,0.53865,0.72128,1.27242,0.91855,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,2660.01,0.60648,0.91256,0.88613,0.67805,0.63908,0.67014,0.53612,0.7192,1.27213,0.91853,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,3025.65,0.58651,0.88345,0.87123,0.83744,0.56245,0.6702,0.53951,0.71178,1.2571,0.91212,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
